name,price,image_url,description
Kong Bone Chew Toy,14.99,https://images.unsplash.com/photo-1535294435445-d7249524ef2e?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80,"The KONG Extreme Goodie Bone toy delights dogs that are the toughest of chewers and that delight in chew sessions. Made from the most durable KONG Extreme unique, natural black rubber formula this bone is designed for determined chewers. The KONG Extreme Goodie Bone also features patented Goodie Grippers ™ that turn this entertaining toy into a fun treat dispensing challenge that can be stuffed with your dog’s favorite kibble. "
Batman Rubber Duck,9.99,https://images.unsplash.com/photo-1559715541-5daf8a0296d0?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=986&q=80,"Batman Theme Duck Toy. To keep your pets entertained with its toy and felt happy. The toy is perfect for cuddling and houses a squeaker internally for added fun. Product Attributes.
"
Dog Stuffy Toy,11.95,https://images.freeimages.com/images/large-previews/aa2/dog-1390847.jpg,Soft Chew Toys for dogs. Made with strong materials this toy is ideal for power chewers
Hill's Dry Dog Food Lamb,71.24,https://m.media-amazon.com/images/I/810w+AUv9US._AC_SX425_.jpg,"Natural sources of glucosamine and chondroitin for joints and mobility
Clinically proven antioxidant blend with vitamins c Plus e to help support a healthy immune system
Natural, high quality, easy-to-digest ingredients with no artificial colors, flavors or preservatives for a flavorful, nutritious Meal
Exclusive blend of omega-6 fatty acids, vitamin e and other Nutrients nourishes the skin and promotes a noticeably shiny coat in 30 Days"
Hill’s Dry Dog Food Chicken,17.07,https://m.media-amazon.com/images/I/81AZMr9Y9rL._AC_SX425_.jpg,"
This dog food made with natural ingredients uses high quality, easy-to-digest ingredients to fuel the specific energy needs of your full-grown dog
Helps maintain a beautiful skin and a healthy coat by providing a precise balance of omega-6 & vitamin E
Supports lean muscle growth and maintenance in your adult dog with a premium source of high quality protein
Packed with natural fibers to promote healthy digestion for your fully grown dog
Made with natural ingredients"
Hill's Science Diet Adult Oral ,54.09,https://m.media-amazon.com/images/I/91oGsQBuRBL._AC_SX425_.jpg,"Clinically proven kibble technology to reduce plaque and tartar buildup in adult cats
A dry cat food that helps improve your cat's dental health and freshen breath with every bite
Promotes a healthy fur coat with vitamin E and omega-6 fatty acids
Made in the USA with natural ingredients you can trust
#1 Veterinarian Recommended"
Hill's Science Diet Dry Cat Food,64.59,https://m.media-amazon.com/images/I/813yT5P3MTL._AC_SX425_.jpg,"Cat food that supports the entire urinary system with optimal levels of magnesium
A good source of natural fiber to help comfortably reduce hairballs in cats
Supports healthy skin and coat with omega 6s and vitamin E
High quality protein to help your cat maintain muscle
Made with natural ingredients
Made in the USA with global ingredients you can trust
No.1 Veterinarian recommended"
FEANDREA Cat Tree Condo ,89.99,https://m.media-amazon.com/images/I/71VsQm01bzL._AC_SX425_.jpg,"ROUNDED FOR MY WELL-BEING: “Meow...I love the round corners of this cat tree. When I rub against it I won’t get hurt, and when we play hide-and-seek, you won’t either.”
HOURS OF SCRATCHING FUN: At the bottom of the cat tower is a scratching ramp so that your sofa will be saved from velvet claws. Working both as a ladder and a scratching board, the ramp will help your kittens climb onto the cat condo and build her muscles at the same time—so cool!
WHERE IS HER FAVORITE SPOT? Yawning on the well-padded viewing perch, melting into the basket lounger, or hiding in the spacious cave with 2 doors? Wherever she stays, she’ll be very comfortable and appreciate the cat tree you build for her
TRUST ITS STABILITY: This is a small but stable cat tower. Thanks to its high quality engineered wood and the reinforced base plate, this cat condo will be a great companion during your cat’s growth
NOT SATISFIED YET? FEANDREA provides you with professional customer service both before and after your purchase; don’t wait any longer, build this cat tree for your feline friend today!"
Pieviev Cat Litter Mat Trapper,29.99,https://m.media-amazon.com/images/I/71MfETuPJiL._AC_SX425_.jpg,"
Anti Tracking EZ Open Edge Litter Mat: Double-layer honeycomb design helps you gather the litter. You just pick up the mat and all the litter falls through and then dump it back in the litter box make it recycling. No more getting litter stuck to my feet on a daily basis! Large holes is large enough to catch and trap litter. Suitable for lots of type of litter, and kitty litter boxes,hooded,self cleaning litter box.
Waterproof/Urine Proof Mat: Bottom layer is waterproof and also slip-resistant which will not allow any liquid to go through and easy to move. If you have a cat vomit on the mat, you can hose it off, easy to clean and be dry. Protect your hardwood floors and carpets from nasty urine stains.Prevent the cat's urine from getting everywhere.
Easy Clean Washable Litter Mat: Pieviev litter box mat is made of soft durable and washable EVA. Dirt can be removed easily.You don't have to sweep up or vacuum the litter everyday.Save time and strength!! Plastic cat mats have to use vacuum to clean cat litter and still cannot be thoroughly cleaned.
Soft On Paws & Easy To Release Litter: Great litter trapping mat, comfortable on tender paws. Our soft EVA material is gentle for sensitive cat paws. Cats even like to step on or have an afternoon snooze on it. Double layers allow litter to be sifted and gather on the bottom. Shaking gently could release litter easily.
Premium Durability: Considering cats like to scratch, our mat is made of hard material, strong and durable. We are proud that we provide you with a tough and long-lasting cat litter mat product."
Omega Paw Elite Self Cleaning Litter Box ,84.99,https://m.media-amazon.com/images/I/81oEc-l8DkL._AC_SX425_.jpg,"ELITE ROLL 'N CLEAN SELF CLEANING LITTER BOX New and improved with chrome accents and bonus litter step to catch litter as the cat exits. The unique patented grill inside the Roll’n Clean scoops out the clumped waste, depositing it into the pull-out tray. Just roll the litter box onto its top, and roll back to the up-right position. Remove the tray and dispose of waste."
